1,8,-11
0,-6,-8
1,0,-6
2,3,-3
3,8,3
2,1,-4
1,-13,-1
2,-12,-13
3,-6,-11
4,-3,-8
5,2,-2
6,3,9
7,11,-2
6,4,-9
5,-10,-6
6,-3,-16
7,3,-14
8,6,-11
9,11,-5
10,12,6
9,5,-1
8,-9,2
9,-8,-10
10,-2,-8
11,1,-5
12,6,1
11,-1,-6
10,-15,-3
11,-8,-13
12,-2,-11
13,1,-8
14,6,-2
15,7,9
16,15,-2
15,8,-9
14,-6,-6
15,0,-4
16,5,2
15,-2,-5
14,-16,-2
15,-9,-12
16,-3,-10
17,0,-7
18,5,-1
17,-2,-8
16,-16,-5
17,-9,-15
18,-3,-13
19,0,-10
20,5,-4
21,6,7
22,14,-4
21,7,-11
20,-7,-8
21,-1,-6
22,2,-3
23,3,8
24,11,-3
23,4,-10
22,-10,-7
23,-4,-5
24,-1,-2
23,-8,-9
24,-2,-7
25,1,-4
26,2,7
27,10,-4
26,3,-11
25,-11,-8
26,-5,-6
27,-2,-3
28,3,3
27,-4,-4
28,2,-2
27,-6,-14
28,-3,-11
29,2,-5
30,3,6
31,11,-5
30,4,-12
29,-10,-9
30,-4,-7
31,-1,-4
32,0,7
33,8,-4
32,1,-11
31,-13,-8
32,-7,-6
33,-4,-3
34,1,3
33,-6,-4
34,0,-2
33,-8,-14
34,-5,-11
35,0,-5
36,1,6
37,9,-5
36,2,-12
35,-12,-9
36,-6,-7
37,-3,-4
38,2,2
37,-5,-5
38,1,-3
37,-7,-15
38,-4,-12
39,1,-6
40,2,5
39,-5,-2
